student_id,faculty,year,satisfaction,favourite_tool,comments
A001,Arts,2,4,Excel,Clear explanations
A002,Arts,1,3,Excel,A bit too technical at times
A003,Arts,3,5,Python,Changed how I think about data
A004,Arts,2,4,R,Good workload
A005,Arts,4,5,Python,Practical and relevant
A006,Arts,1,2,Excel,More support needed for beginners
A007,Arts,3,4,Python,Well paced
A008,Arts,2,5,Excel,Loved the CSV projects
A009,Arts,4,4,Python,Good use of real datasets
A010,Arts,1,3,R,Interesting but challenging
A011,Arts,3,5,Python,Inspiring instructor
A012,Arts,2,4,Excel,Would take again
