student_id,faculty,year,satisfaction,favourite_tool,comments
B001,Business,3,5,Python,Best course I have taken
B002,Business,1,4,Excel,Very practical content
B003,Business,2,4,Python,Great for data analysis skills
B004,Business,4,5,Python,Wish I had this earlier
B005,Business,1,3,Excel,Needed more guided examples
B006,Business,2,5,Python,Exceeded my expectations
B007,Business,3,4,Excel,Good real-world applications
B008,Business,4,5,Python,Loved the SQL section
B009,Business,1,3,SPSS,Challenging but rewarding
B010,Business,2,4,Python,Excellent pace and structure
B011,Business,3,5,Excel,Very engaging
B012,Business,4,4,Python,Would recommend to everyone
B013,Business,2,3,R,Could use more practice problems
